	perimeter	moment
6:	191.338		122594
6:	182.953		92698.6
6:	189.439		101206
6:	191.681		153377
6:	193.681		170064
6:	192.61		125967
6:	192.267		111554
6:	191.196		132923
6:	191.681		134436
6:	192.267		153697
6:	190.024		137143
6:	190.024		151575
6:	190.61		169825
6:	190.61		140366
6:	193.924		159348
6:	190.024		159023
6:	193.439		177607
6:	195.095		166385
6:	190.61		145594
6:	193.681		159197
6:	194.024		181406
6:	188.61		136731
6:	188.61		128747
6:	189.439		158776
6:	187.539		151662
6:	189.681		157129
6:	190.61		133623
6:	191.196		140138
6:	188.61		124181
7:	179.64		-497027
7:	177.397		-426690
7:	178.811		-464910
7:	176.569		-488132
7:	176.569		-459140
7:	178.711		-463703
7:	177.154		-442182
7:	177.882		-468076
7:	176.569		-417991
7:	179.882		-437710
7:	176.811		-447512
7:	179.296		-412826
7:	177.397		-409874
7:	175.64		-395125
7:	176.225		-421211
7:	172.225		-411604
7:	169.054		-330971
7:	171.539		-345421
7:	176.368		-396375
7:	167.296		-349798
7:	178.711		-432124
7:	169.296		-344691
7:	169.64		-308645
7:	171.054		-333253
7:	171.539		-374176
7:	167.154		-326805
7:	170.225		-343975
7:	172.811		-385625
7:	176.225		-430441
7:	177.882		-415123
7:	175.296		-407681
7:	173.882		-358501
7:	172.569		-359010
7:	175.882		-369012
7:	172.811		-370168
7:	177.782		-378744
7:	186.024		-535966
7:	180.953		-514767
7:	178.711		-488919
7:	176.225		-435099
7:	172.811		-404490
7:	181.782		-432970
7:	175.983		-474676
7:	177.054		-416972
7:	179.882		-431753
7:	177.054		-438786
7:	176.569		-420814
7:	172.569		-359586
7:	177.882		-395795
7:	179.539		-393292
7:	172.811		-363563
7:	173.154		-375163
7:	175.64		-416245
7:	171.154		-383782
7:	175.397		-367029
7:	171.397		-364631
8:	156.368		-43999.2
8:	156.711		-10991.5
8:	159.196		-15028.5
8:	155.196		-27486.6
8:	154.368		-20407.5
8:	156.61		-28410
8:	158.267		-4658.21
8:	154.953		-22410
8:	154.125		-23531.8
8:	151.782		11254.5
8:	158.61		-12307.2
8:	149.539		-21768.7
8:	152.368		-38492.8
8:	151.539		-8489.87
8:	152.711		-39075.3
8:	151.539		-11478
8:	151.296		-35176.2
8:	156.368		-23051.7
8:	152.125		-5631.56
8:	154.125		-32243.2
8:	153.782		-10496.6
8:	156.024		-10410.9
8:	154.368		-37484.8
8:	154.711		-26395.1
8:	154.468		-28578.7
8:	154.711		-7178.33
8:	158.711		-27490.6
8:	155.782		13891.5
8:	157.539		-29875.3
8:	155.196		-24959.9
8:	152.953		1052.1
8:	152.711		-26872.8
8:	153.539		-22817.9
8:	154.953		-22935.1
9:	195.439		-239602
9:	196.853		-195806
9:	197.439		-163486
9:	196.995		-152083
9:	194.853		-189371
9:	192.024		-159441
9:	193.681		-202750
9:	192.853		-138133
9:	196.51		-177643
9:	195.681		-147484
9:	191.681		
